Time,%CO2 reading,removal efficiency% at t,Avg %CO2 in t to t+1,Avg. CO2 removal frac. in t-t+1,gram of CO2 added,CO2 mass flow rate (gm./min),cumulative CO2,moles of CO2 in solution,CO2 concentration in mol/kg solution,CO2 mole ratio at inlet,CO2 mole ratio at outlet,(Y1-Y2)+LN(Y1/Y2),cross-sectional area,height of packed bed,pressure,inert gas flow rate (kmol/m2/hr),mass transfer coefficient (KGav),moles of ammonia reacted (assuming ABC),total ammonia moles in solution,unreacted moles of ammonia,unreacted NH3 moles (new calc.),ammonia % (new calc.),ammonia% at t,ln(ammonia%),ln(Kgav),ln(ammonia %),
345,11.8,41.5841584158416,11.55,0.428217821782178,11.2141071428571,,708.598392857143,16.1045089285714,3.53945251177394,,0.133786848072562,0.757012515500161,,,,,0.0978929118497678,16.1045089285714,,9.36413306538419,3.74415538681277,1.59407415593554,3.98677965258732,1.38298380040278,-2.32388113400995,0.466293101202811,-2.32388113400995
355,12.3,39.1089108910891,12.05,0.403465346534653,9.60535714285714,,718.20375,16.3228125,3.58743131868132,,0.140250855188141,0.703363713843221,,,,,0.090955328515391,16.3228125,,9.14582949395562,3.5258518153842,1.50113141039982,3.8938369070516,1.35939502293257,-2.39738678842916,0.406219097386676,-2.39738678842916
366,12.3,39.1089108910891,12.3,0.391089108910891,10.2417857142857,,728.445535714286,16.5555803571429,3.63858908948195,,0.140250855188141,0.703363713843221,,,,,0.090955328515391,16.5555803571429,,8.45577016211498,3.11679136747213,1.39681465758027,3.78952015423206,1.33223940269677,-2.39738678842916,0.334194399733905,-2.39738678842916
377,12.9,36.1386138613861,12.6,0.376237623762376,9.85285714285714,,738.298392857143,16.7795089285714,3.68780416012559,,0.148105625717566,0.641015878804861,,,,,0.0828928315361945,16.7795089285714,,8.23184159068641,2.89286279604356,1.29645930043742,3.6891647970892,1.30540009018091,-2.49020669179573,0.259636933631433,-2.49020669179573
388,12.9,36.1386138613861,12.9,0.361386138613861,9.46392857142857,,747.762321428571,16.9945982142857,3.73507653061224,,0.148105625717566,0.641015878804861,,,,,0.0828928315361945,16.9945982142857,,8.01675230497212,2.67777351032927,1.20006533897125,3.59277083562303,1.27892372530772,-2.49020669179573,0.182376004454362,-2.49020669179573
398,13.2,34.6534653465347,13.05,0.353960396039604,8.42678571428571,,756.189107142857,17.1861160714286,3.77716836734694,,0.152073732718894,0.610607991386682,,,,,0.0789606420655902,17.1861160714286,,7.82523444782926,2.48625565318641,1.1142350993096,3.50694059596138,1.25474403230953,-2.53880575236021,0.108168159912028,-2.53880575236021
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7th Exp,,,,8th Exp,,,,,,,,,,,,,,,,,
,,,,,,hour,pH1/pH2,,,hour,pH1/pH2,,,,,,,,,,,,,,,,
,,,,,,1st hr,11.12/11.26,,,1st hr,11.37/11.37,,,,,,,,,,,,,,,,
,,,,,,2nd hr,11.12/10.93,,,2nd hr,11.08/11.04,,,,,,,,,,,,,,,,
,,,,,,3rd hr,10.89/10.61,,,3rd hr,10.83/10.77,,,,,,,,,,,,,,,,
,,,,,,4th hr,10.2/10.27,,,4th hr,10.49/10.46,,,,,,,,,,,,,,,,
,,,,,,5th hr,9.82/9.93,,,5th hr,10.05/10.15,,,,,,,,,,,,,,,,
,,,,,,6th hr,9.81/9.77,,,6th hr,9.71/9.73,,,,,,,,,,,,,,,,
